,geometry,name,details,borough
0,POINT (-73.98659181365889 40.60753207315604),Seth Low Playground/ Bealin Square,Out in Open,B
1,POINT (-73.96862765692859 40.7480871896291),Robert Moses Playground,In Playground,M
2,POINT (-74.0003631604654 40.750036026114756),Chelsea Park,"Under Tree, Near Ballfield, Just Outside Playground",M
3,POINT (-73.97290101781864 40.72386196549101),John V. Lindsay East River Park,"Just Outside Playground, Near Ballfield",M
4,POINT (-73.94639259466328 40.69933443616386),Charlie's Place,"In Shade, In Playground",B
5,POINT (-73.92412001948213 40.703148631662614),Maria Hernandez Park,Out in Open,B
6,POINT (-73.83541216458211 40.70989104598132),Forest Park,Just Outside Playground,Q
7,POINT (-73.82189029787115 40.749009160447415),Kissena Corridor Park,Out in Open,Q
8,POINT (-73.85043591195084 40.74628271582561),Flushing Meadows Corona Park,Under Tree,Q
9,POINT (-73.75035291482422 40.594116304422464),Beach 17 Playground,Out in Open,Q
10,POINT (-74.19801006044196 40.5320604857313),Richmond Parkway,Just Outside Playground,R
11,POINT (-74.01152114448477 40.630582530228764),Leif Ericson Park,In Playground,B
12,POINT (-73.92149830053333 40.87145657354482),Inwood Hill Park,Near Ballfield,M
13,POINT (-73.97478960620937 40.7174350715035),John V. Lindsay East River Park,"Under Tree, Near Ballfield",M
14,POINT (-73.98647089425904 40.660201255822955),Butterfly Gardens,In Shade,B
15,POINT (-73.89967168190799 40.66257799498549),Lion's Pride Playground,In Playground,B
16,POINT (-73.95910814569388 40.73561179541555),Greenpoint Playground,"In Playground, Under Tree",B
17,POINT (-73.97152639520957 40.6660594118767),Prospect Park,Out in Open,B
18,POINT (-73.7941909938004 40.8624767457428),Pelham Bay Park,Out in Open,X
19,POINT (-73.95984131674064 40.710527932663624),La Guardia Playground,"In Playground, Under Tree",B
20,POINT (-73.95895649291961 40.57526977895059),Coney Island Beach & Boardwalk,Out in Open,B
21,POINT (-73.9803807041983 40.711203244737106),Corlears Hook Park,"Under Tree, Near Ballfield, Just Outside Playground",M
22,POINT (-73.76275009986881 40.59254717374473),Beach 30th Street Playground,In Shade,Q
23,POINT (-73.87824711127223 40.89593290170336),Van Cortlandt Park,Near Ballfield,X
24,POINT (-73.91959306528246 40.780270317271665),Astoria Park,"Out in Open, Under Tree, In Shade",Q
25,POINT (-74.06301212593604 40.59243802980647),Franklin D. Roosevelt Boardwalk and Beach,Just Outside Playground,R
26,POINT (-74.01715711986482 40.62755186432433),McKinley Park,Out in Open,B
27,POINT (-73.8237465260574 40.78279288380388),Harvey Park,In Playground,Q
28,POINT (-73.86301305962124 40.6756201057255),Belmont Playground,In Playground,B
29,POINT (-73.8875575916527 40.67064430231672),Sutter Ballfields,"Out in Open, Near Ballfield",B
30,POINT (-73.97533594931137 40.69064605174565),Fort Greene Park,Out in Open,B
31,POINT (-73.92349973602167 40.833089271617006),Mullaly Park,Near Ballfield,X
32,POINT (-73.92548853149675 40.666721231198075),Lincoln Terrace / Arthur S. Somers Park,Under Tree,B
33,POINT (-74.00463996804507 40.65596669099067),D'Emic Playground,In Playground,B
34,POINT (-73.84708768493677 40.74762631636178),Flushing Meadows Corona Park,Under Tree,Q
35,POINT (-73.78251681225879 40.67789881975598),Baisley Pond Park,"Out in Open, Under Tree",Q
36,POINT (-73.78533068480898 40.70388754443373),Detective Keith L Williams Park,Out in Open,Q
37,POINT (-74.09837441506136 40.57485204625707),Midland Playground,In Playground,R
38,POINT (-74.0309828990796 40.63981947775261),Owl's Head Park,Just Outside Playground,B
39,POINT (-74.00193075025685 40.75215623616355),The High Line,Out in Open,M
40,POINT (-73.91747550497843 40.640750612406656),Curtis Playground,"Under Tree, In Shade, In Playground",B
41,POINT (-73.85288308299175 40.83895912327039),Castle Hill Playground,"In Playground, In Shade, Under Tree",X
42,POINT (-74.16265120163189 40.53706901327814),Lieutenant John H. Martinson Playground,In Playground,R
43,POINT (-73.93161769542503 40.87045180652843),Inwood Hill Park,Near Ballfield,M
44,POINT (-73.77154862306001 40.77098172368239),Crocheron Park,In Playground,Q
45,POINT (-73.90406782602015 40.90283441615568),Vinmont Veteran Park,,X
46,POINT (-73.77180194148158 40.73529572895759),Cunningham Park,"Near Ballfield, Out in Open",Q
47,POINT (-73.95497355338944 40.72177137196247),McCarren Park,Near Ballfield,B
48,POINT (-73.93599229195567 40.82899114017403),Holcombe Rucker Park,"Near Ballfield, Just Outside Playground",M
49,POINT (-73.93803593999998 40.63781760809363),Paerdegat Park,"Out in Open, Near Ballfield",B
50,POINT (-74.11070229141347 40.56168689770271),Dugan Playground,Near Ballfield,R
51,POINT (-73.94567451098447 40.59200095278448),Bill Brown Playground,Near Ballfield,B
52,POINT (-73.94180667072594 40.821451442992434),Renaissance Playground,"In Shade, In Playground",M
53,POINT (-73.7839064048872 40.76053889250834),Francis Lewis Playground,In Playground,Q
54,POINT (-73.93899043242507 40.81370224138313),Howard Bennett Playground,"In Playground, Near Ballfield, Under Tree",M
55,POINT (-73.89261259883682 40.9009251540253),Van Cortlandt Park,In Shade,X
56,POINT (-74.03496512264346 40.64019994141609),Owl's Head Park,Out in Open,B
57,POINT (-73.87217561885215 40.817607924568215),Soundview Park,Near Ballfield,X
58,POINT (-73.95864159324488 40.7594905662151),Twenty-Four Sycamores Park,Out in Open,M
59,POINT (-73.77493947577639 40.67444019411596),Rochdale Park,Near Ballfield,Q
60,POINT (-73.94294054576132 40.576762350719676),Manhattan Beach Park,Out in Open,B
61,POINT (-73.95740049230612 40.79302091624471),Central Park,"Near Ballfield, Out in Open",M
62,POINT (-73.81699036586781 40.775223389180425),Flushing Fields,"Out in Open, Near Ballfield",Q
63,POINT (-73.75588163676494 40.686115194728565),Locust Manor Playground,Under Tree,Q
64,POINT (-73.87347356972406 40.71018877411146),Middle Village Playground,In Playground,Q
65,POINT (-73.85495079349782 40.756466869675336),Hinton Park,Near Ballfield,Q
66,POINT (-73.85541472484225 40.74364991549613),William F Moore Park,Out in Open,Q
67,POINT (-73.8539163386334 40.90227219157187),Wakefield Playground,Out in Open,X
68,POINT (-73.96342908242245 40.660662698291695),Prospect Park,In Playground,B
69,POINT (-73.79034284743894 40.86971121697975),Pelham Bay Park,Under Tree,X
70,POINT (-73.88123879630922 40.89001422371831),Van Cortlandt Park,"Out in Open, Under Tree",X
71,POINT (-73.9577008144543 40.597019272962356),Mellett Playground,Out in Open,B
72,POINT (-73.95592224556765 40.81533402236661),Sheltering Arms Playground,In Playground,M
73,POINT (-73.89471522834255 40.8443337338669),Tremont Park,"In Playground, Under Tree",X
74,POINT (-73.88287559764319 40.719661321328715),Juniper Valley Park,Near Ballfield,Q
75,POINT (-73.74202930676597 40.66279275709811),Brookville Park,Out in Open,Q
76,POINT (-73.99409378515034 40.711273537084736),Coleman Playground,Near Ballfield,M
77,POINT (-73.99492272431905 40.680954367256135),Carroll Park,In Playground,B
78,POINT (-73.81339927669553 40.82337666521684),Bicentennial Veterans Memorial Park,"Near Ballfield, Out in Open",X
79,POINT (-73.98134396621283 40.68686719475676),Sixteen Sycamores Playground,"In Playground, Out in Open",B
80,POINT (-73.90755652017631 40.83190697157351),Morgan Playground,"In Shade, Under Tree",X
81,POINT (-74.09293105052043 40.6258156869087),Silver Lake Park,Under Tree,R
82,POINT (-73.88656429166319 40.6557552253083),Ethan Allen Playground,Under Tree,B
83,POINT (-73.96541673845005 40.65159403294468),Parade Ground,"In Playground, Out in Open",B
84,POINT (-73.96642667225402 40.65189496271986),Parade Ground,"Out in Open, Near Ballfield",B
